f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,label,session_id
0.1676391801151003,0.3386877595360665,0.478066044455639,0.6005101197031133,0.502038692153922,0.6943053881831209,0.8114759397507398,0.9142671439780352,0.5105344585902651,0.7372897258800644,0.8799737518206142,0.9999975562616712,0.495926050569366,0.7104972884768785,0.8418385933602677,0.951438228365477,0.4695259308645248,0.6475564667770857,0.7572888016281939,0.8540154850975956,open_hand,1
0.1588600237365344,0.3188435085584548,0.4569773581779904,0.5689067528421862,0.5049004482348541,0.7005402004487065,0.8190649471232266,0.9205735761145044,0.506844625193564,0.7377945427853965,0.8790859489357348,0.9999974889871956,0.4875993644427874,0.7081615706327823,0.845162026433406,0.962281265573133,0.4568986946919642,0.6365502874348795,0.755852815224874,0.8655151045011189,open_hand,1
0.1671386331221616,0.3317351708628533,0.4622835917102385,0.5700284444596728,0.523906358738638,0.715894662108156,0.831077406288055,0.9296281937911428,0.5275846841643183,0.7468349369409016,0.8826955535440048,0.9999974507252346,0.508728275207816,0.7170968859656066,0.8455193349364394,0.9572617899906172,0.4757802939216297,0.6501540103283894,0.7637841739010706,0.8716522482891665,open_hand,1
0.1658683408756562,0.3373104250925876,0.4717942597999349,0.5910379363180539,0.5318327935453576,0.7207989375024342,0.8311993904653225,0.9275804548384354,0.5353023807569232,0.7521292708653107,0.884000095107451,0.9999974564600048,0.5144111391384563,0.7199489694681154,0.843530227197456,0.953282868655736,0.4785323624865004,0.6526446135886455,0.7654937952463655,0.872254177251875,open_hand,1
0.1619230894103603,0.3256152000950044,0.4598507569649183,0.5769634518722871,0.5223817950218593,0.7161697093225536,0.8311931030028663,0.9337547379424028,0.5316715222484495,0.7488477807014956,0.883144500059999,0.99999742752061,0.516130272487711,0.7193210141167762,0.845432774101773,0.9548433923115752,0.4836765392760427,0.652968522075032,0.7625492536872964,0.8635761682279325,open_hand,1
0.165111546051623,0.3286696884832832,0.4556079253175448,0.5625755263173031,0.5212079527185198,0.7170922594559381,0.8319585663840023,0.9324501747040126,0.5278352103342696,0.7485891225816094,0.8850474010494587,0.9999974080043776,0.5095721634204282,0.7188388790135515,0.8481150711084964,0.9573132234453132,0.474647996556899,0.6472473430936381,0.7594194580124044,0.8630406052280151,open_hand,1
0.1652972085540046,0.3310679022070875,0.462664465321401,0.5717242788625629,0.5194106676807908,0.7143169166775547,0.8275196616345507,0.9280931338572792,0.5241772050572849,0.7460503954911519,0.8834163798769591,0.9999973944028095,0.5025744402909972,0.7146160870679564,0.8425794527110153,0.952652047971225,0.46316730293805,0.6377222632800785,0.7517523002028691,0.8591191280889698,open_hand,1
0.1655106030632462,0.3267005616504133,0.4542226876834001,0.5634512245641009,0.5145845836986481,0.7123556893158708,0.829974158563023,0.9327955206220696,0.5259624049013587,0.7477961429932264,0.8841848890685016,0.9999973334919428,0.5102549710519017,0.7187502367923247,0.845400841927734,0.9524630064135172,0.4748078802026235,0.6475814256627322,0.7626145431347594,0.8670677456259851,open_hand,1
0.1698026667728606,0.3366443602001235,0.4714515570960568,0.5880802848738332,0.5038435937523353,0.7024201342682943,0.8223637417392784,0.9273799548546736,0.5087593936756262,0.7344652037901103,0.8766234801294593,0.9999973150772312,0.4889997527064239,0.7056676687429883,0.8429022237310434,0.9612799072405686,0.4513000770078076,0.6239840431258403,0.7411456854576132,0.8484584164056913,open_hand,1
0.1754385116285424,0.342242925987353,0.4725371103181173,0.5831372650513954,0.5071816086688781,0.7032368243587931,0.8200509722477789,0.9227918972619792,0.5146575040503881,0.738654483436079,0.8794526236825753,0.9999972567489512,0.4973779969839464,0.7116661949626116,0.8433924724543008,0.9563080867545732,0.4616904416893545,0.6381192744179373,0.7489332945138194,0.847628026205859,open_hand,1
